"","hub_genes","GS1.FilterGenes.","datKME.MM.turquoise.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"233","ILMN_2664491",0.425388396539471,-0.867718330315322,"SNX2"
"234","ILMN_2664950",-0.287796878982804,0.837807529374734,"PHF2"
"235","ILMN_2665131",-0.476056863689461,0.822275529888436,"IHPK1"
"236","ILMN_2667144",0.318261271963117,-0.828742840738162,"ENDOGL1"
"237","ILMN_2667842",0.388102333039141,-0.840758143811864,"TBRG1"
"238","ILMN_2667972",0.491008462896848,-0.815016208129299,"CUGBP1"
"239","ILMN_2668001",0.422946057144734,-0.822856861133416,"BXDC2"
"240","ILMN_2669034",0.348060254593689,-0.892975034380784,"ABCF2"
"241","ILMN_2669280",0.463779084656949,-0.833716380096623,"EDEM2"
"242","ILMN_2670662",0.411159034230034,-0.901119683635391,"CSDE1"
"243","ILMN_2672798",0.416906339814705,-0.937701905021203,"PSMD5"
"244","ILMN_2672997",0.298829139864758,-0.852043180560725,"RABIF"
"245","ILMN_2673233",0.478031933218611,-0.940637604820876,"PFKP"
"246","ILMN_2675078",0.430995236828611,-0.862106776720717,"RNF14"
"247","ILMN_2676165",0.524016365165351,-0.817274293884177,"LSM14B"
"248","ILMN_2678547",0.320593418551985,-0.886346826832384,"LYPLA1"
"249","ILMN_2678828",0.423832545043238,-0.957597795603648,"EIF5A"
"250","ILMN_2679695",0.471803335867498,-0.900263887797484,"MTERFD2"
"251","ILMN_2680618",-0.436645053699383,0.881756269986149,"CRTC1"
"252","ILMN_2680745",0.495749556260251,-0.813043599169189,"GABBR1"
"253","ILMN_2680808",0.362747938157822,-0.865929844481322,"HNRNPH2"
"254","ILMN_2682173",0.296913720405186,-0.810199150731112,"MFSD11"
"255","ILMN_2682516",-0.490755813156934,0.913036943827086,"WIPI2"
"256","ILMN_2682787",0.335191709774828,-0.842654882394481,"COPS7A"
"257","ILMN_2682811",0.427231759091831,-0.935689915810416,"RNF14"
"258","ILMN_2683363",-0.441690172233318,0.869139045748209,"ORF61"
"259","ILMN_2684528",0.393451042049334,-0.883577805778686,"GPM6A"
"260","ILMN_2685695",0.479279111679021,-0.910100813011556,"ING3"
"261","ILMN_2685696",0.46075226710209,-0.912719734490668,"ING3"
"262","ILMN_2686603",0.335667864873684,-0.836137336156943,"LOC100046406"
"263","ILMN_2687744",0.42376700005144,-0.922622500898912,"RNF167"
"264","ILMN_2688923",0.415480591660545,-0.89026928012311,"HNRNPH1"
"265","ILMN_2691187",0.495278029363871,-0.973819182068715,"RBBP7"
"266","ILMN_2691192",0.474353240724963,-0.961117169996688,"RBBP7"
"267","ILMN_2693124",0.378552943317866,-0.904748999147492,"RAB1B"
"268","ILMN_2693459",0.470245458407754,-0.842076074440133,"SSBP2"
"269","ILMN_2693461",0.41963057325933,-0.881241693515672,"SSBP2"
"270","ILMN_2695528",0.471230839860422,-0.892717202612293,"TMED4"
"271","ILMN_2698606",0.448497526428042,-0.919893083321102,"TMED4"
"272","ILMN_2699167",0.394214458745401,-0.836049953821162,"LOC100046918"
"273","ILMN_2700022",0.473336345930918,-0.845213529500644,"ARL2BP"
"274","ILMN_2700126",0.386279894120262,-0.889753701300747,"ARFGAP1"
"275","ILMN_2700425",-0.388420133771034,0.81627629209581,"ATP9B"
"276","ILMN_2702471",0.554443085030554,-0.856139228274865,"ADK"
"277","ILMN_2702767",0.448287083143959,-0.849758610260252,"SLC35A1"
"278","ILMN_2704822",0.411245219172228,-0.831952681571094,"ACAA2"
"279","ILMN_2704823",0.389142707472287,-0.836201749423955,"ACAA2"
"280","ILMN_2704826",0.499862020000955,-0.832014391284258,"ACAA2"
"281","ILMN_2705119",0.354124019099155,-0.917296934437159,"LOC100047353"
"282","ILMN_2705324",-0.418836941941578,0.901827750584019,"HIPK2"
"283","ILMN_2705367",-0.435299180690881,0.877144420257434,"EHMT2"
"284","ILMN_2708297",0.534107861398885,-0.925767125084775,"MTCH1"
"285","ILMN_2708397",0.474559334834911,-0.944387291151924,"BC003885"
"286","ILMN_2708440",0.465449282888426,-0.938471353502958,"SNX12"
"287","ILMN_2713039",0.432016632530532,-0.911223114087222,"TTC33"
"288","ILMN_2713686",0.470120839115678,-0.91915859560495,"PNPO"
"289","ILMN_2713879",-0.557085240889725,0.844280582377469,"DENND1A"
"290","ILMN_2715304",0.436718607891581,-0.960301032674266,"NECAP1"
"291","ILMN_2716014",0.346243936750535,-0.83263635531039,"LOC667609"
"292","ILMN_2716527",0.434536912859707,-0.83445543382004,"MAPK9"
"293","ILMN_2717199",0.380316111790422,-0.832354659950544,"SDF2"
"294","ILMN_2717374",0.414203936201991,-0.900483674356996,"PCMT1"
"295","ILMN_2717569",0.496814816247933,-0.921581580546423,"UFSP2"
"296","ILMN_2717727",-0.406899746590002,0.803935920898562,"HERC2"
"297","ILMN_2718791",-0.361312756392931,0.823629983447145,"SPHK2"
"298","ILMN_2719888",0.435389011080031,-0.909940637747922,"G3BP1"
"299","ILMN_2720634",0.415337533728595,-0.859967672542724,"PRMT5"
"300","ILMN_2722497",0.48439697320522,-0.834859020344752,"SLC37A3"
"301","ILMN_2723108",0.416193725983536,-0.955389707116235,"TSC22D1"
"302","ILMN_2723576",0.473032191487751,-0.844151144314156,"CLDN10"
"303","ILMN_2724339",0.387642192732847,-0.908580735723734,"DTNA"
"304","ILMN_2724530",0.371255863611154,-0.802769835561765,"PMM2"
"305","ILMN_2724643",0.426950372792624,-0.805492847551682,"IMP4"
"306","ILMN_2725286",0.441924734786466,-0.96178165407155,"ATP6AP2"
"307","ILMN_2725402",0.398695420039122,-0.826996761636897,"NSDHL"
"308","ILMN_2725902",0.363052218230513,-0.867849192389457,"VSTM2A"
"309","ILMN_2726159",0.329082139038845,-0.821077531163088,"SS18L1"
"310","ILMN_2726162",0.38196767242589,-0.809444327405735,"SS18L1"
"311","ILMN_2726397",-0.44255995551301,0.811101766282774,"KCNH3"
"312","ILMN_2727847",-0.526594838724329,0.872429601416237,"KALRN"
"313","ILMN_2729953",0.40680022685625,-0.831581996354761,"PPM1B"
"314","ILMN_2729985",0.335341540102992,-0.831286349335201,"COPS4"
"315","ILMN_2730514",0.474032380323907,-0.880245404719158,"HERPUD2"
"316","ILMN_2732229",0.452374618596902,-0.861723046829927,"PRDX3"
"317","ILMN_2732476",0.408175961790468,-0.847713994863535,"RNF34"
"318","ILMN_2732877",0.401760961607137,-0.851057604622217,"1700034H14RIK"
"319","ILMN_2732961",0.406182154249168,-0.850485636627544,"MFF"
"320","ILMN_2733277",0.363631906130607,-0.852187082453373,"SLC25A36"
"321","ILMN_2733380",0.458748955757915,-0.913220734015284,"SNX17"
"322","ILMN_2734152",0.485824066937917,-0.832431485241773,"E2F6"
"323","ILMN_2737479",-0.499643448382662,0.81889864974615,"SLC12A9"
"324","ILMN_2740151",0.406943742135989,-0.812267853688627,"CHPT1"
"325","ILMN_2740152",0.36873842521401,-0.806415919640536,"CHPT1"
"326","ILMN_2742626",0.323495726910911,-0.895286943813011,"SPIN"
"327","ILMN_2744683",0.389069306471829,-0.834052056758965,"SIRPA"
"328","ILMN_2745037",0.330625011503647,-0.838389113070971,"ARL2BP"
"329","ILMN_2746075",0.413090137436819,-0.898623779221997,"CSNK1D"
"330","ILMN_2747735",0.460697350625737,-0.843496948402988,"SEC22A"
"331","ILMN_2747912",0.334891698926611,-0.819551233535856,"RAB24"
"332","ILMN_2749866",-0.372361540208474,0.800261996395922,"BAP1"
"333","ILMN_2749955",0.440299265701976,-0.878882815036044,"2400003C14RIK"
"334","ILMN_2750098",0.273753977266867,-0.816608921554116,"CHMP7"
"335","ILMN_2751054",0.412313465360112,-0.819958511938781,"ATF2"
"336","ILMN_2751539",0.451860061384033,-0.881280058353615,"SDCBP"
"337","ILMN_2751653",0.375241532086967,-0.813878850876259,"PNPLA8"
"338","ILMN_2752867",0.493807522215616,-0.844728843577922,"SYNJ2BP"
"339","ILMN_2753761",0.54447834546618,-0.813013555304639,"2010004A03RIK"
"340","ILMN_2754690",0.479215761509399,-0.870292609950406,"ACAD8"
"341","ILMN_2757150",-0.529245971743785,0.800781415322297,"PCTK1"
"342","ILMN_2758878",0.510595743737179,-0.873384219559044,"TMEM66"
"343","ILMN_2760593",-0.364604360961974,0.830288237578068,"D030051N19RIK"
"344","ILMN_2761662",-0.480574623797464,0.929018842916912,"SAMD4B"
"345","ILMN_2763602",0.396267518298554,-0.934698770713786,"MAEA"
"346","ILMN_2768841",-0.284174341455676,0.824539349168137,"RAB22A"
"347","ILMN_2775005",-0.454078538942472,0.813488034422209,"NUMBL"
"348","ILMN_2776025",0.49365523043468,-0.841144757107895,"FKBP1A"
"349","ILMN_2776230",0.390625898017736,-0.824625026929487,"SUMO3"
"350","ILMN_2776231",0.486555323823926,-0.848965360016134,"SUMO3"
"351","ILMN_2776876",0.461573152599399,-0.832615085303959,"RPRD1A"
"352","ILMN_2776910",0.432454220151097,-0.916944155806234,"MOBKL3"
"353","ILMN_2776911",0.309648152859688,-0.805840509290415,"PREI3"
"354","ILMN_2781602",0.359545418138961,-0.802435013875002,"IER3IP1"
"355","ILMN_2786764",0.407464609046247,-0.826042308739744,"RAB5A"
"356","ILMN_2790181",0.338015540813137,-0.846352271975145,"PHGDH"
"357","ILMN_2790486",0.471303542681674,-0.90960840273906,"ATP5F1"
"358","ILMN_2813724",-0.437317676032396,0.879774970941686,"BAI2"
"359","ILMN_2815626",-0.330244401362696,0.803674524540827,"PALM"
"360","ILMN_2822229",0.38581329787944,-0.870536281304952,"ZDHHC17"
"361","ILMN_2828731",-0.640152875819908,0.843038767181925,"SCRIB"
"362","ILMN_2832608",0.494349193123628,-0.828490285510639,"FVT1"
"363","ILMN_2838871",-0.39968322691412,0.852643088194093,"SIDT2"
"364","ILMN_2842767",-0.440380949602508,0.820231548079161,"NACC1"
"365","ILMN_2843891",0.385458951017244,-0.897389391226674,"CACNG3"
"366","ILMN_2844153",-0.40654268992051,0.812567227047268,"BC024868"
"367","ILMN_2852380",0.399358162599783,-0.834213908773992,"SRP54"
